"","Weight","Conference","ELO","ActualFinish","ExpectedFinish"
"484",174,"Big Ten",1327.22,"cons 32","E[cons 32]"
"485",174,"Big Ten",1546.21,"AA","E[AA]"
"486",174,"Big Ten",1492.24,"AA","E[AA]"
"487",174,"Big Ten",1372.59,"cons 12","E[cons 24]"
"491",174,"Big Ten",1391.72,"cons 16","E[cons 12]"
"492",174,"Big Ten",1368.9,"cons 32","E[cons 24]"
"494",174,"EIWA",1388.89,"cons 12","E[cons 12]"
"498",174,"EIWA",1350.03,"cons 12","E[cons 24]"
"501",174,"EIWA",1351.48,"cons 16","E[cons 24]"
"502",174,"EIWA",1423.24,"AA","E[AA]"
"505",174,"EIWA",1336.7,"cons 32","E[cons 32]"
"507",174,"EIWA",1342.91,"cons 32","E[cons 32]"
"508",174,"EIWA",1385.26,"cons 32","E[cons 16]"
"513",174,"EWL",1364.83,"cons 24","E[cons 24]"
"514",174,"EWL",1338.26,"cons 32","E[cons 32]"
"519",174,"MAC",1373.05,"cons 24","E[cons 24]"
"520",174,"MAC",1487.71,"AA","E[AA]"
"524",174,"MAC",1341.87,"cons 32","E[cons 32]"
"527",174,"Pac 12",1383.97,"cons 24","E[cons 16]"
"529",174,"Pac 12",1520.85,"AA","E[AA]"
"534",174,"SoCon",1356.51,"cons 16","E[NQ]"
"540",184,"ACC",1369.49,"AA","E[cons 16]"
"542",184,"ACC",1420.44,"cons 12","E[AA]"
"544",184,"ACC",1417.19,"AA","E[AA]"
"546",184,"Big 12",1378.35,"cons 24","E[cons 12]"
"547",184,"Big 12",1345.01,"cons 24","E[cons 24]"
"551",184,"Big 12",1360.34,"cons 32","E[cons 16]"
"552",184,"Big 12",1327.13,"cons 32","E[cons 32]"
"554",184,"Big 12",1309.12,"cons 32","E[cons 32]"
"557",184,"Big Ten",1445.12,"AA","E[AA]"
"558",184,"Big Ten",1288.06,"cons 16","E[NQ]"
"561",184,"Big Ten",1375.74,"cons 16","E[cons 16]"
"562",184,"Big Ten",1299.39,"cons 32","E[NQ]"
"564",184,"Big Ten",1469.69,"AA","E[AA]"
"565",184,"Big Ten",1534.24,"AA","E[AA]"
"566",184,"Big Ten",1396.78,"AA","E[AA]"
"567",184,"Big Ten",1346.69,"cons 24","E[cons 24]"
"570",184,"Big Ten",1375.92,"AA","E[cons 12]"
