Weight,Last,First,Conference,Finish,ELO
149,Deakin,Ryan,Big Ten,cons 16,1462.21
149,Deluca,Eleazar,Big Ten,cons 24,1351.52
149,Hayes,Ke-Shawn,Big Ten,cons 12,1420.7
149,Martin,Cole,Big Ten,cons 32,1342.5
149,McCrystal,Colton,Big Ten,cons 16,1390.95
149,Nash,Austin,Big Ten,NQ,
149,Raya,AJ,Big Ten,NQ,
149,Retherford,Zain,Big Ten,1,1583.73
149,Sorensen,Brandon,Big Ten,5,1501.01
149,Burkert,Ryan,EIWA,NQ,
149,Elfvin,Trevor,EIWA,NQ,
149,Garcia,Frank,EIWA,cons 24,1330.32
149,Gil,Wil,EIWA,NQ,
149,Harnsberger,Alex,EIWA,NQ,
149,Hogue,Seth,EIWA,NQ,
149,Koll,William,EIWA,NQ,1348.92
149,Kolodzik,Matthew,EIWA,3,1463.11
149,Krause,Zach,EIWA,NQ,
149,Ladnier,Hunter,EIWA,NQ,1339.71
149,Lucie,Will,EIWA,NQ,
149,Macalolooy,Jacob,EIWA,NQ,
149,Oliva,Joe,EIWA,NQ,
149,Prince,Jared,EIWA,cons 32,1406.92
149,Schuyler,Cortlandt,EIWA,cons 16,1376.71
149,Sprague,Michael,EIWA,cons 32,1331.59
149,Dinmore,Gary,EWL,NQ,1335.09
149,Ford,Ryan,EWL,NQ,
149,Lorea,Jensen,EWL,NQ,
149,Ortz,Taylor,EWL,cons 32,1316.86
149,Perry,Ronald,EWL,2,1419.18
149,Stahlnecker,Braden,EWL,NQ,
149,Yorkdale,Justin,EWL,NQ,
149,Baker, Nolan,MAC,NQ,1394.31
149,Carter,Kenan,MAC,NQ,
149,Driscoll,Chance,MAC,NQ,
149,Kowalski,Kade,MAC,NQ,
149,Leeth,Grant,MAC,6,1431.23
149,Oliver,Justin,MAC,cons 12,1414.52
149,Palumbo,Nick,MAC,NQ,
149,Springer,Kyle,MAC,cons 33,1345.63
149,Barry,Jake,Pac 12,NQ,
149,Cortez,Joshua,Pac 12,NQ,
149,Reyes,Josh,Pac 12,NQ,
149,Tonge,Kalani,Pac 12,NQ,
149,Tsirtsis,Jason,Pac 12,7,1415.73
149,Armenta,Joby,SoCon,NQ,
149,Barnes, Zach,SoCon,NQ,1332.66
149,Boylen,Roman,SoCon,NQ,
